"location","reference_date","horizon","target_end_date","output_type","output_type_id","value"
"HHS Region 2","2011-12-25",3,"2012-01-15","pmf","[5.5,5.6)",0
"HHS Region 2","2011-12-25",3,"2012-01-15","pmf","[5.6,5.7)",0
"HHS Region 2","2011-12-25",3,"2012-01-15","pmf","[5.7,5.8)",0
"HHS Region 2","2011-12-25",3,"2012-01-15","pmf","[5.8,5.9)",0
"HHS Region 2","2011-12-25",3,"2012-01-15","pmf","[5.9,6)",0.00066
"HHS Region 2","2011-12-25",3,"2012-01-15","pmf","[6,6.1)",0
"HHS Region 2","2011-12-25",3,"2012-01-15","pmf","[6.1,6.2)",0
"HHS Region 2","2011-12-25",3,"2012-01-15","pmf","[6.2,6.3)",0.00066
"HHS Region 2","2011-12-25",3,"2012-01-15","pmf","[6.3,6.4)",0
"HHS Region 2","2011-12-25",3,"2012-01-15","pmf","[6.4,6.5)",0.00066
"HHS Region 2","2011-12-25",3,"2012-01-15","pmf","[6.5,6.6)",0
"HHS Region 2","2011-12-25",3,"2012-01-15","pmf","[6.6,6.7)",0
"HHS Region 2","2011-12-25",3,"2012-01-15","pmf","[6.7,6.8)",0.00066
"HHS Region 2","2011-12-25",3,"2012-01-15","pmf","[6.8,6.9)",0
"HHS Region 2","2011-12-25",3,"2012-01-15","pmf","[6.9,7)",0
"HHS Region 2","2011-12-25",3,"2012-01-15","pmf","[7,7.1)",0
"HHS Region 2","2011-12-25",3,"2012-01-15","pmf","[7.1,7.2)",0
"HHS Region 2","2011-12-25",3,"2012-01-15","pmf","[7.2,7.3)",0
"HHS Region 2","2011-12-25",3,"2012-01-15","pmf","[7.3,7.4)",0
"HHS Region 2","2011-12-25",3,"2012-01-15","pmf","[7.4,7.5)",0
"HHS Region 2","2011-12-25",3,"2012-01-15","pmf","[7.5,7.6)",0
"HHS Region 2","2011-12-25",3,"2012-01-15","pmf","[7.6,7.7)",0
"HHS Region 2","2011-12-25",3,"2012-01-15","pmf","[7.7,7.8)",0
"HHS Region 2","2011-12-25",3,"2012-01-15","pmf","[7.8,7.9)",0
"HHS Region 2","2011-12-25",3,"2012-01-15","pmf","[7.9,8)",0.00066
"HHS Region 2","2011-12-25",3,"2012-01-15","pmf","[8,8.1)",0
"HHS Region 2","2011-12-25",3,"2012-01-15","pmf","[8.1,8.2)",0
"HHS Region 2","2011-12-25",3,"2012-01-15","pmf","[8.2,8.3)",0
"HHS Region 2","2011-12-25",3,"2012-01-15","pmf","[8.3,8.4)",0
"HHS Region 2","2011-12-25",3,"2012-01-15","pmf","[8.4,8.5)",0
"HHS Region 2","2011-12-25",3,"2012-01-15","pmf","[8.5,8.6)",0
"HHS Region 2","2011-12-25",3,"2012-01-15","pmf","[8.6,8.7)",0
"HHS Region 2","2011-12-25",3,"2012-01-15","pmf","[8.7,8.8)",0
